tuning_source,model_type,trial_id,trial_number,status,duration_seconds,best_val_precision,best_val_accuracy,best_val_auc,best_val_recall,best_val_loss,best_val_pr_auc,input_dim,batch_size,num_layers,units_layer_0,activation_0,l2_reg_0,batch_norm_0,dropout_0,units_layer_1,activation_1,l2_reg_1,batch_norm_1,dropout_1,optimizer,learning_rate,units_layer_2,activation_2,l2_reg_2,batch_norm_2,dropout_2,units_layer_3,activation_3,l2_reg_3,batch_norm_3,dropout_3,units_layer_4,activation_4,l2_reg_4,batch_norm_4,dropout_4,best_val_f1,layer_1_units,layer_1_activation,layer_1_dropout,layer_1_batch_norm,layer_1_l2_reg,layer_2_units,layer_2_activation,layer_2_dropout,layer_2_batch_norm,layer_2_l2_reg,layer_3_units,layer_3_activation,layer_3_dropout,layer_3_batch_norm,layer_3_l2_reg,layer_4_units,layer_4_activation,layer_4_dropout,layer_4_batch_norm,layer_4_l2_reg,layer_5_units,layer_5_activation,layer_5_dropout,layer_5_batch_norm,layer_5_l2_reg,num_conv_layers,filters_layer_0,kernel_size_0,conv_activation_0,conv_l2_reg_0,conv_batch_norm_0,use_pooling_0,pool_size_0,conv_dropout_0,filters_layer_1,kernel_size_1,conv_activation_1,conv_l2_reg_1,conv_batch_norm_1,use_pooling_1,pool_size_1,conv_dropout_1,num_dense_layers,dense_units_0,dense_activation_0,dense_l2_reg_0,dense_batch_norm_0,dense_dropout_0,dense_units_1,dense_activation_1,dense_l2_reg_1,dense_batch_norm_1,dense_dropout_1,filters_layer_2,kernel_size_2,conv_activation_2,conv_l2_reg_2,conv_batch_norm_2,use_pooling_2,pool_size_2,conv_dropout_2,dense_units_2,dense_activation_2,dense_l2_reg_2,dense_batch_norm_2,dense_dropout_2
cnn_bayesian_results/cnn_bayesian_tuning,cnn,00,0,COMPLETED,,0.8309847712516785,0.9634999930858612,0.9739850759506226,0.7164705991744995,0.13264167308807373,,12.0,,,,,,,,,,,,,nadam,0.0008664281726338777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,7.0,relu,1.2607436797378123e-05,False,True,2.0,0.1,16.0,5.0,elu,0.0002453984251723797,True,False,3.0,0.30000000000000004,2.0,160.0,selu,3.702950291601467e-05,False,0.30000000000000004,160.0,elu,0.0012170202053495467,False,0.30000000000000004,32.0,3.0,relu,0.001,False,True,2.0,0.3,,,,,
cnn_bayesian_results/cnn_bayesian_tuning,cnn,01,1,COMPLETED,,0.6517309844493866,0.9458000063896179,0.9712216258049011,0.796470582485199,0.5136807858943939,,12.0,,,,,,,,,,,,,nadam,1.7821428022111167e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,112.0,3.0,selu,0.0034957378898216656,False,True,2.0,0.2,80.0,5.0,elu,1.5088203098908473e-05,True,False,3.0,0.2,2.0,128.0,selu,0.00040019635476059835,False,0.2,224.0,relu,0.004417133495788292,False,0.30000000000000004,16.0,3.0,relu,1.8626237350270366e-05,True,True,2.0,0.2,,,,,
cnn_bayesian_results/cnn_bayesian_tuning,cnn,02,2,COMPLETED,,0.754746824502945,0.9576999843120575,0.9729996025562286,0.7447058856487274,0.13593018427491188,,12.0,,,,,,,,,,,,,adam,0.0004577927391105306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,112.0,3.0,relu,2.7190279842996864e-05,False,True,2.0,0.30000000000000004,48.0,5.0,relu,0.00023266392134656803,True,True,2.0,0.4,2.0,192.0,elu,2.885347372736055e-05,False,0.30000000000000004,64.0,relu,3.496075222853719e-05,True,0.2,80.0,7.0,relu,2.38604613548044e-05,False,False,3.0,0.5,,,,,
cnn_bayesian_results/cnn_bayesian_tuning,cnn,03,3,COMPLETED,,0.8949525952339172,0.9691999852657318,0.9764084815979004,0.7235294282436371,0.12864581122994423,,12.0,,,,,,,,,,,,,adam,0.004114565089723973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,32.0,3.0,relu,0.00027291200606963643,True,False,2.0,0.2,64.0,5.0,selu,0.0006465369704094953,True,False,2.0,0.2,2.0,192.0,elu,3.959346623029949e-05,True,0.5,96.0,elu,1.0380223688898798e-05,False,0.5,128.0,3.0,elu,0.0022392201586369505,False,True,2.0,0.5,,,,,
cnn_bayesian_results/cnn_bayesian_tuning,cnn,04,4,COMPLETED,,0.8034389615058899,0.9585999846458435,0.9697299897670746,0.6917647123336792,0.15241210907697678,,12.0,,,,,,,,,,,,,nadam,0.007597739439845146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,64.0,5.0,elu,1.3511024240756072e-05,True,False,3.0,0.5,128.0,5.0,relu,0.004513023452486666,False,False,2.0,0.4,1.0,256.0,selu,0.0011091497263757968,False,0.4,32.0,relu,1.1560477663321563e-05,True,0.4,16.0,5.0,relu,0.0005724312890341864,True,False,2.0,0.5,,,,,
cnn_bayesian_results/cnn_bayesian_tuning,cnn,05,5,COMPLETED,,0.8517340421676636,0.9653000235557556,0.9753543436527252,0.7164705991744995,0.1283864565193653,,12.0,,,,,,,,,,,,,nadam,0.00017124300190077678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,112.0,5.0,relu,9.01024395255397e-05,False,False,3.0,0.4,128.0,7.0,selu,0.005910030085769176,False,False,3.0,0.2,2.0,64.0,elu,0.00010118801359769161,True,0.1,128.0,selu,0.009034149756449028,True,0.2,32.0,3.0,relu,9.765550877064469e-05,True,True,2.0,0.1,,,,,
cnn_bayesian_results/cnn_bayesian_tuning,cnn,06,6,COMPLETED,,0.9010655581951141,0.967600017786026,0.9714279174804688,0.7011764645576477,0.1375490054488182,,12.0,,,,,,,,,,,,,adam,0.0029789413971405285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,128.0,7.0,elu,1.481776713304715e-05,False,True,3.0,0.30000000000000004,128.0,7.0,relu,0.00010845389971419988,False,False,2.0,0.30000000000000004,2.0,32.0,relu,0.0024721267957561422,False,0.5,224.0,elu,0.0036314893715310714,False,0.5,112.0,3.0,relu,1.7331940071087788e-05,False,False,2.0,0.1,,,,,
cnn_bayesian_results/cnn_bayesian_tuning,cnn,07,7,COMPLETED,,0.8957231044769287,0.964000016450882,0.9715889692306519,0.6517647206783295,0.15552782267332077,,12.0,,,,,,,,,,,,,adam,0.002088057709604032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,112.0,5.0,elu,1.2144883648776642e-05,True,True,2.0,0.4,48.0,3.0,relu,0.000572368607674627,True,False,3.0,0.4,2.0,224.0,elu,0.003093028193937783,True,0.2,256.0,selu,8.373676504972404e-05,False,0.30000000000000004,48.0,7.0,elu,7.631837552536812e-05,True,True,2.0,0.1,,,,,
cnn_bayesian_results/cnn_bayesian_tuning,cnn,08,8,COMPLETED,,0.5629769265651703,0.9307999908924103,0.9663369059562683,0.8317646980285645,0.16446266323328018,,12.0,,,,,,,,,,,,,adam,1.4416130640813707e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,32.0,3.0,elu,7.66379310031987e-05,False,False,2.0,0.4,112.0,5.0,relu,7.291189451754865e-05,False,True,3.0,0.30000000000000004,1.0,32.0,elu,5.449615583267195e-05,False,0.4,32.0,relu,0.00018424486260028145,False,0.2,112.0,7.0,elu,6.026331449556287e-05,False,True,2.0,0.1,,,,,
cnn_bayesian_results/cnn_bayesian_tuning,cnn,09,9,COMPLETED,,0.6315919756889343,0.9440999925136566,0.9753898084163666,0.8235293924808502,0.23146109282970428,,12.0,,,,,,,,,,,,,nadam,3.272653812719562e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,5.0,elu,1.0594603099051255e-05,False,True,3.0,0.2,112.0,5.0,relu,1.4403532086502177e-05,False,True,2.0,0.4,3.0,256.0,elu,0.0006758986984219807,True,0.2,192.0,relu,1.1454752157110545e-05,False,0.1,128.0,5.0,elu,0.00023456608848747794,False,False,2.0,0.4,64.0,relu,0.001,False,0.3
cnn_bayesian_results/cnn_bayesian_tuning,cnn,10,10,COMPLETED,,0.7052769064903259,0.9525000154972076,0.9706214666366577,0.7611764669418335,0.28550682961940765,,12.0,,,,,,,,,,,,,rmsprop,2.8869894340034424e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,64.0,5.0,selu,0.00035296803690903426,True,True,2.0,0.2,96.0,7.0,elu,5.897560279425982e-05,True,True,2.0,0.1,3.0,64.0,relu,1.2872304681251655e-05,False,0.4,224.0,selu,0.0018594969737956572,True,0.1,112.0,5.0,elu,0.0006906761378875345,True,True,2.0,0.4,192.0,elu,4.2917420776732186e-05,True,0.1
cnn_bayesian_results/cnn_bayesian_tuning,cnn,11,11,FAILED,,,,,,,,12.0,,,,,,,,,,,,,adam,4.70266707568289e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,80.0,3.0,selu,1.0712039703560328e-05,True,True,2.0,0.2,80.0,3.0,elu,0.0006460458740792935,False,True,3.0,0.2,1.0,64.0,elu,0.0015321897774156108,False,0.1,96.0,selu,0.002620095734527658,False,0.2,16.0,7.0,elu,0.0003798820311507386,False,True,3.0,0.1,128.0,elu,0.0015332693892098279,False,0.2
cnn_bayesian_results/cnn_bayesian_tuning,cnn,12,12,COMPLETED,,0.7975722849369049,0.9581000208854675,0.9659808576107025,0.679999977350235,0.2862735688686371,,12.0,,,,,,,,,,,,,adam,2.8778962050560887e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,16.0,3.0,relu,0.0020500456266735636,False,False,2.0,0.4,48.0,3.0,relu,9.138278227513497e-05,True,True,3.0,0.5,3.0,160.0,elu,0.0012740376397662213,False,0.4,192.0,elu,0.0001612807112898198,True,0.30000000000000004,48.0,7.0,relu,4.6094932660709117e-05,True,True,2.0,0.1,160.0,selu,0.008571160374580358,False,0.30000000000000004
cnn_bayesian_results/cnn_bayesian_tuning,cnn,13,13,COMPLETED,,0.8730788826942444,0.9564000070095062,0.9622702598571777,0.5752941370010376,0.1556946113705635,,12.0,,,,,,,,,,,,,nadam,0.008133179517423105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,112.0,5.0,selu,0.0003689377678841171,False,False,2.0,0.1,96.0,7.0,elu,0.005496664421052111,True,False,3.0,0.30000000000000004,1.0,32.0,relu,0.001987491073861533,True,0.2,96.0,relu,0.0009753486865393387,True,0.30000000000000004,128.0,5.0,relu,0.0001586852478874073,False,False,3.0,0.5,32.0,selu,0.004246481102358712,False,0.4
cnn_bayesian_results/cnn_bayesian_tuning,cnn,14,14,COMPLETED,,0.6651707887649536,0.9491000175476074,0.9750302731990814,0.8082352876663208,0.14095840603113174,,12.0,,,,,,,,,,,,,adam,8.370223103676933e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,112.0,3.0,relu,1.6248512975020484e-05,True,False,2.0,0.30000000000000004,80.0,7.0,elu,8.941805139009474e-05,False,True,2.0,0.4,1.0,192.0,relu,0.0020660228752865427,True,0.4,256.0,elu,0.0015453692492823543,True,0.1,96.0,7.0,elu,0.0008793860322493373,True,False,2.0,0.4,224.0,elu,1.5274229236891303e-05,True,0.5
cnn_bayesian_results/cnn_bayesian_tuning,cnn,15,15,COMPLETED,,0.6676856279373169,0.948199987411499,0.9700332581996918,0.7776470482349396,0.2737538814544678,,12.0,,,,,,,,,,,,,sgd,0.00167890571422552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,16.0,5.0,elu,9.209455468680429e-05,False,False,3.0,0.4,16.0,5.0,elu,0.0001838029737319516,False,True,2.0,0.30000000000000004,2.0,256.0,relu,8.352320408789656e-05,True,0.1,224.0,selu,0.0007255207399663535,False,0.2,128.0,3.0,relu,0.0025039030145541583,True,True,3.0,0.4,96.0,selu,7.444494317104706e-05,False,0.2
cnn_bayesian_results/cnn_bayesian_tuning,cnn,16,16,COMPLETED,,0.7145509421825409,0.9528000056743622,0.9683779180049896,0.7411764860153198,0.2259768471121788,,12.0,,,,,,,,,,,,,sgd,0.0033187810763094937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,3.0,elu,8.399597761795219e-05,False,False,3.0,0.5,112.0,7.0,selu,0.0038144540934976555,False,True,2.0,0.1,1.0,192.0,elu,9.951383161906164e-05,True,0.2,224.0,selu,0.000854913470164526,True,0.4,128.0,5.0,elu,0.00044109803730372864,False,True,3.0,0.5,32.0,elu,0.006671158671416975,False,0.4
cnn_bayesian_results/cnn_bayesian_tuning,cnn,17,17,COMPLETED,,0.8870911300182343,0.9666000008583069,0.973308652639389,0.6964705884456635,0.1262729987502098,,12.0,,,,,,,,,,,,,rmsprop,0.0005929103687149763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,32.0,5.0,elu,0.0002389727499044129,False,False,2.0,0.4,32.0,7.0,relu,0.0051796129974177605,True,True,2.0,0.5,3.0,160.0,relu,0.00015752127774915954,True,0.30000000000000004,64.0,selu,2.2593288250759818e-05,True,0.1,32.0,3.0,elu,1.0115213562382602e-05,True,True,3.0,0.30000000000000004,192.0,elu,0.00627856018478613,False,0.30000000000000004
cnn_bayesian_results/cnn_bayesian_tuning,cnn,18,18,COMPLETED,,0.6808021068572998,0.9501000046730042,0.9737984240055084,0.7800000011920929,0.13564205169677734,,12.0,,,,,,,,,,,,,adam,0.00011901370074476588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,128.0,3.0,elu,2.333355212989815e-05,True,False,2.0,0.1,32.0,5.0,relu,0.0004385978923931858,True,False,3.0,0.4,1.0,96.0,elu,1.4712348770891454e-05,False,0.2,96.0,elu,0.0001555495293200112,True,0.30000000000000004,16.0,3.0,relu,0.00015148077277880406,False,True,2.0,0.2,32.0,elu,1.733222233750874e-05,False,0.4
cnn_bayesian_results/cnn_bayesian_tuning,cnn,19,19,COMPLETED,,0.8692663311958313,0.9683000147342682,0.9747644066810608,0.7423529624938965,0.13279440253973007,,12.0,,,,,,,,,,,,,adam,0.005493934384125188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,48.0,3.0,relu,0.00023621722470592394,True,False,3.0,0.1,64.0,5.0,selu,0.0010147826386440787,False,False,3.0,0.5,1.0,128.0,relu,3.3286337558834366e-05,True,0.30000000000000004,160.0,relu,0.0002536612721977104,True,0.1,48.0,5.0,relu,0.000945080774888721,True,True,3.0,0.1,32.0,selu,0.0002843927989454938,True,0.1
