tuning_source,model_type,trial_id,trial_number,epoch,val_precision,val_pr_auc,val_accuracy,val_auc,val_recall,val_loss
bayesian_mlp_optimization,mlp,00,0,8,0.7088731229305267,0.8679055571556091,0.9535999894142151,0.9749448001384735,0.7729411721229553,0.1363644301891327
bayesian_mlp_optimization,mlp,01,1,24,0.691448837518692,0.8567774891853333,0.9512999951839447,0.9719827771186829,0.771764725446701,0.2648501992225647
bayesian_mlp_optimization,mlp,02,2,16,0.7495388090610504,0.8782368302345276,0.958299994468689,0.97686767578125,0.7717646956443787,0.11280310153961182
bayesian_mlp_optimization,mlp,03,3,14,0.7086812555789948,0.8820049166679382,0.9553999900817871,0.9772050082683563,0.8070588111877441,0.13041266798973083
bayesian_mlp_optimization,mlp,04,4,24,0.6082107722759247,0.8184671401977539,0.9390000104904175,0.9639896154403687,0.7952941358089447,0.21375273913145065
bayesian_mlp_optimization,mlp,05,5,21,0.939481258392334,0.8735594153404236,0.9697000086307526,0.975176990032196,0.6929411888122559,0.14043832570314407
bayesian_mlp_optimization,mlp,06,6,8,0.7517083287239075,0.8800323009490967,0.9596000015735626,0.9766573309898376,0.7835294008255005,0.1453353762626648
bayesian_mlp_optimization,mlp,07,7,16,0.6061863601207733,0.8690556585788727,0.9169000089168549,0.9749937653541565,0.8470588028430939,0.17642948031425476
bayesian_mlp_optimization,mlp,08,8,15,0.7916285693645477,0.8672550916671753,0.9598000049591064,0.9741325974464417,0.7423529326915741,0.15236616879701614
bayesian_mlp_optimization,mlp,09,9,21,0.9907509088516235,0.8578155636787415,0.9672999978065491,0.9717048108577728,0.6211764812469482,0.25462769716978073
bayesian_mlp_optimization,mlp,10,10,18,0.6998948454856873,0.8804429769515991,0.9542999863624573,0.9768613874912262,0.8094117641448975,0.11944130808115005
bayesian_mlp_optimization,mlp,11,11,17,0.6154940128326416,0.8822759687900543,0.9419000148773193,0.9770515561103821,0.8470588028430939,0.13019725680351257
bayesian_mlp_optimization,mlp,12,12,24,0.639985591173172,0.8585043549537659,0.9448999762535095,0.9731547236442566,0.8047058880329132,0.13299726694822311
bayesian_mlp_optimization,mlp,13,13,18,0.9181554019451141,0.8801397085189819,0.9710000157356262,0.9771084487438202,0.7235294282436371,0.14665503799915314
bayesian_mlp_optimization,mlp,14,14,18,0.6457493603229523,0.880687952041626,0.94200000166893,0.9766787588596344,0.8376470506191254,0.14359208941459656
bayesian_mlp_optimization,mlp,15,15,13,0.7652591168880463,0.8793019652366638,0.9510999917984009,0.9763658046722412,0.7811764478683472,0.1390565223991871
bayesian_mlp_optimization,mlp,16,16,15,0.7574688494205475,0.8811115622520447,0.9596000015735626,0.9764959514141083,0.7870588302612305,0.12153501808643341
bayesian_mlp_optimization,mlp,17,17,17,0.6197123825550079,0.8782948553562164,0.939300000667572,0.9764621257781982,0.8329411745071411,0.14478644728660583
bayesian_mlp_optimization,mlp,18,18,20,0.8067296147346497,0.8729957342147827,0.9625000059604645,0.975020706653595,0.7564705908298492,0.1334787867963314
bayesian_mlp_optimization,mlp,19,19,17,0.7102997601032257,0.8822770118713379,0.9553000032901764,0.9772222340106964,0.8082352876663208,0.12477194890379906
cnn_bayesian_results/cnn_bayesian_tuning,cnn,00,0,7,0.8309847712516785,,0.9634999930858612,0.9739850759506226,0.7164705991744995,0.13264167308807373
cnn_bayesian_results/cnn_bayesian_tuning,cnn,01,1,9,0.6517309844493866,,0.9458000063896179,0.9712216258049011,0.796470582485199,0.5136807858943939
cnn_bayesian_results/cnn_bayesian_tuning,cnn,02,2,10,0.754746824502945,,0.9576999843120575,0.9729996025562286,0.7447058856487274,0.13593018427491188
cnn_bayesian_results/cnn_bayesian_tuning,cnn,03,3,10,0.8949525952339172,,0.9691999852657318,0.9764084815979004,0.7235294282436371,0.12864581122994423
cnn_bayesian_results/cnn_bayesian_tuning,cnn,04,4,21,0.8034389615058899,,0.9585999846458435,0.9697299897670746,0.6917647123336792,0.15241210907697678
cnn_bayesian_results/cnn_bayesian_tuning,cnn,05,5,12,0.8517340421676636,,0.9653000235557556,0.9753543436527252,0.7164705991744995,0.1283864565193653
cnn_bayesian_results/cnn_bayesian_tuning,cnn,06,6,2,0.9010655581951141,,0.967600017786026,0.9714279174804688,0.7011764645576477,0.1375490054488182
cnn_bayesian_results/cnn_bayesian_tuning,cnn,07,7,11,0.8957231044769287,,0.964000016450882,0.9715889692306519,0.6517647206783295,0.15552782267332077
cnn_bayesian_results/cnn_bayesian_tuning,cnn,08,8,23,0.5629769265651703,,0.9307999908924103,0.9663369059562683,0.8317646980285645,0.16446266323328018
cnn_bayesian_results/cnn_bayesian_tuning,cnn,09,9,22,0.6315919756889343,,0.9440999925136566,0.9753898084163666,0.8235293924808502,0.23146109282970428
cnn_bayesian_results/cnn_bayesian_tuning,cnn,10,10,5,0.7052769064903259,,0.9525000154972076,0.9706214666366577,0.7611764669418335,0.28550682961940765
cnn_bayesian_results/cnn_bayesian_tuning,cnn,11,11,0,,,,,,
cnn_bayesian_results/cnn_bayesian_tuning,cnn,12,12,23,0.7975722849369049,,0.9581000208854675,0.9659808576107025,0.679999977350235,0.2862735688686371
cnn_bayesian_results/cnn_bayesian_tuning,cnn,13,13,4,0.8730788826942444,,0.9564000070095062,0.9622702598571777,0.5752941370010376,0.1556946113705635
cnn_bayesian_results/cnn_bayesian_tuning,cnn,14,14,22,0.6651707887649536,,0.9491000175476074,0.9750302731990814,0.8082352876663208,0.14095840603113174
cnn_bayesian_results/cnn_bayesian_tuning,cnn,15,15,10,0.6676856279373169,,0.948199987411499,0.9700332581996918,0.7776470482349396,0.2737538814544678
cnn_bayesian_results/cnn_bayesian_tuning,cnn,16,16,9,0.7145509421825409,,0.9528000056743622,0.9683779180049896,0.7411764860153198,0.2259768471121788
cnn_bayesian_results/cnn_bayesian_tuning,cnn,17,17,8,0.8870911300182343,,0.9666000008583069,0.973308652639389,0.6964705884456635,0.1262729987502098
cnn_bayesian_results/cnn_bayesian_tuning,cnn,18,18,16,0.6808021068572998,,0.9501000046730042,0.9737984240055084,0.7800000011920929,0.13564205169677734
cnn_bayesian_results/cnn_bayesian_tuning,cnn,19,19,6,0.8692663311958313,,0.9683000147342682,0.9747644066810608,0.7423529624938965,0.13279440253973007
